postal_code,Years,useful,funny,cool,Price,use_change,fun_change,coo_change,pri_change,use_median,fun_median,coo_median,pri_median,use_std,fun_std,coo_std,pri_std,stars_1,stars_2,stars_3,stars_4,stars_5,Star1_change,Star2_change,Star3_change,Star4_change,Star5_change,stars,sta_median,sta_std,reviews_perc,prev_stars,Star_change,NumBsqft_Rev,Bsqft_change,MedPrice_sqft(t),MedPrice_sqft_tminus1,MedPrice_sqft_tminus2,MedPrice_sqft_tplus1
15037,2016,0.304347826,0.014492754,0.115942029,1.769230769,-0.507246377,-0.507246377,0.971014493,0.061538462,0,0,0,2,0.601575085,0.120385853,0.470801316,0.59914469,0.15942029,0.101449275,0.086956522,0.289855072,0.362318841,-0.096618357,0,0.47826087,0.642512077,-0.384057971,3.594202899,4,1.468481014,0.001569466,4,-0.101449275,2.603773585,1.029411765,85,82,79,91.5
15044,2007,2,1,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,0,0.001179245,4,0,0.024213075,0,108,103.5,101,108
15044,2008,3.25,0,1,1.666666667,0.625,-1,0,0.666666667,1,0,1,2,5.188127472,0,1.154700538,0.577350269,0,0,0.25,0.75,0,0,0,0,-0.25,0,3.75,4,0.5,0.002122016,4,-0.0625,0.0968523,3,108,108,103.5,109.5
15044,2009,2.75,1.083333333,1.166666667,1.6,-0.153846154,0,0.166666667,-0.04,2,1,1,2,2.734460226,1.164500153,1.267304465,0.547722558,0,0,0.166666667,0.416666667,0.416666667,0,0,-0.333333333,-0.444444444,0,4.25,4,0.753778361,0.003317667,3.75,0.133333333,0.169491525,0.75,109.5,108,108,110.5
15044,2010,1.769230769,0.230769231,0.384615385,1.833333333,-0.356643357,-0.786982249,-0.67032967,0.145833333,1,0,0,2,2.712742959,0.59914469,0.767947648,0.40824829,0.153846154,0.076923077,0.153846154,0.538461538,0.076923077,0,0,-0.076923077,0.292307692,-0.815384615,3.307692308,4,1.250640861,0.002071713,4.25,-0.221719457,0.242130751,0.428571429,110.5,109.5,108,112
15044,2011,1.323529412,0.294117647,0.382352941,1.818181818,-0.251918159,0.274509804,-0.005882353,-0.008264463,1,0,0,2,1.531895009,0.871411664,0.77907116,0.603022689,0.088235294,0.176470588,0.117647059,0.235294118,0.382352941,-0.426470588,1.294117647,-0.235294118,-0.56302521,3.970588235,3.647058824,4,1.390058925,0.002913703,3.307692308,0.102599179,0.435835351,0.8,112,110.5,109.5,113
15044,2012,0.615384615,0.096153846,0.096153846,1.722222222,-0.535042735,-0.673076923,-0.74852071,-0.052777778,0,0,0,2,1.174130403,0.357530494,0.297678296,0.460888599,0.173076923,0.057692308,0.230769231,0.25,0.288461538,0.961538462,-0.673076923,0.961538462,0.0625,-0.24556213,3.423076923,4,1.419004813,0.00311042,3.647058824,-0.061414392,0.677966102,0.555555556,113,112,110.5,116.5
15044,2013,0.747368421,0.105263158,0.094736842,1.757575758,0.214473684,0.094736842,-0.014736842,0.020527859,0,0,0,2,1.570800183,0.398766295,0.294404708,0.560708426,0.105263158,0.073684211,0.221052632,0.263157895,0.336842105,-0.391812865,0.277192982,-0.042105263,0.052631579,0.167719298,3.652631579,4,1.302766459,0.004513922,3.423076923,0.067060911,1.041162228,0.535714286,116.5,113,112,123
15044,2014,0.784615385,0.184615385,0.423076923,1.842105263,0.049837486,0.753846154,3.465811966,0.048094374,0,0,0,2,1.232534512,0.656330123,0.905327767,0.546552625,0.1,0.069230769,0.146153846,0.284615385,0.4,-0.05,-0.06043956,-0.338827839,0.081538462,0.1875,3.815384615,4,1.304640587,0.004511852,3.652631579,0.044557748,1.210653753,0.162790698,123,116.5,113,128
15044,2015,0.682539683,0.17989418,0.264550265,1.909090909,-0.130096483,-0.025573192,-0.374699375,0.036363636,0,0,0,2,1.155358425,0.515109975,0.774502197,0.709345647,0.195767196,0.084656085,0.137566138,0.19047619,0.391534392,0.957671958,0.222810112,-0.058758006,-0.330759331,-0.021164021,3.497354497,4,1.545839779,0.004857113,3.815384615,-0.083354668,4.576271186,2.78,128,123,116.5,134.5
15044,2016,0.426086957,0.117391304,0.295652174,1.891304348,-0.375733064,-0.347442455,0.117565217,-0.00931677,0,0,0,2,1.11018209,0.511144084,1.069415324,0.674232432,0.152173913,0.069565217,0.12173913,0.213043478,0.443478261,-0.222679201,-0.17826087,-0.115050167,0.118478261,0.13266745,3.726086957,4,1.465384398,0.005231553,3.497354497,0.065401565,5.569007264,0.216931217,134.5,128,123,139.5
15045,2014,3,0,0,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,0,3.47E-05,5,0,0.625,0,38,36,36.5,38
15045,2015,0.285714286,0,0,2,-0.904761905,0,0,0,0,0,0,2,0.487950036,0,0,0.816496581,0.142857143,0.142857143,0.142857143,0,0.571428571,0,0,0,0,-0.428571429,3.714285714,5,1.704336206,0.000179893,5,-0.257142857,4.375,6,38,38,36,39.5
15045,2016,0.4,0,0,1.75,0.4,0,0,-0.125,0,0,0,2,0.516397779,0,0,0.5,0.1,0,0.2,0.1,0.6,-0.3,-1,0.4,0,0.05,4.1,5,1.370320319,0.000227459,3.714285714,0.103846154,6.25,0.428571429,39.5,38,38,42
15055,2016,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,0,4.55E-05,4.5,0.111111111,2.857142857,0,112,109,106.5,113.5
15056,2008,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0.000530504,3.666666667,-0.181818182,1.111111111,0,62,62,59,66
15056,2009,0.666666667,0.333333333,0.333333333,1,0,0,0,0,0,0,0,1,1.154700538,0.577350269,0.577350269,0,0,0,0.333333333,0.333333333,0.333333333,0,0,-0.666666667,0,0,4,4,1,0.000829417,3,0.333333333,1.111111111,0,66,62,62,66
15056,2010,1,0,0,1,0.5,-1,-1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,2,-1,4,4,0,0.000159363,4,0,1.111111111,0,66,66,62,67
15056,2011,1,0,0,1,0,0,0,0,0.5,0,0,1,1.549193338,0,0,0,0,0.333333333,0.166666667,0,0.5,0,0,0,-1,0,3.666666667,4,1.505545305,0.000514183,4,-0.083333333,1.111111111,0,67,66,66,63.5
15056,2012,0.454545455,0.272727273,0.090909091,1,-0.545454545,0,0,0,0,0,0,1,0.687551651,0.646669791,0.301511345,0,0.090909091,0,0.272727273,0.545454545,0.090909091,0,-1,0.636363636,0,-0.818181818,3.545454545,4,1.035725481,0.000657973,3.666666667,-0.033057851,2.222222222,1,63.5,67,66,64.5
