postal_code,Years,useful,funny,cool,Price,stars_1,stars_2,stars_3,stars_4,stars_5,stars,reviews_perc,prev_stars,stars_perc,Perc_Change_tminus1,Per_Change_t,Perc_Change_tplus1
15139,2008,1.545454545,0.454545455,0.363636364,1.666666667,0,0.181818182,0.363636364,0.090909091,0.363636364,3.636363636,0.005835544,,0.038961039,0.029761905,0.034682081,-0.016759777
15139,2009,2.2,0.9,1,1.625,0.1,0,0.3,0.5,0.1,3.5,0.002764722,3.636363636,-0.0375,0.034682081,-0.016759777,0.085227273
15139,2010,0.8,0.1,0.1,1.666666667,0,0.1,0.2,0.4,0.3,3.9,0.001593625,3.5,0.114285714,-0.016759777,0.085227273,0.015706806
15139,2011,1.44,0.16,0.4,1.823529412,0.14,0.04,0.2,0.24,0.38,3.68,0.004284857,3.9,-0.056410256,0.085227273,0.015706806,-0.015463918
15139,2012,0.956521739,0.434782609,0.5,1.733333333,0.065217391,0.152173913,0.108695652,0.347826087,0.326086957,3.717391304,0.002751525,3.68,0.010160681,0.015706806,-0.015463918,0.047120419
15139,2013,0.416666667,0.066666667,0.066666667,1.692307692,0.083333333,0.066666667,0.133333333,0.333333333,0.383333333,3.866666667,0.002850898,3.717391304,0.040155945,-0.015463918,0.047120419,0.02
15139,2014,0.532467532,0.155844156,0.337662338,1.842105263,0.051948052,0.038961039,0.12987013,0.285714286,0.493506494,4.12987013,0.002672405,3.866666667,0.068069861,0.047120419,0.02,0.024509804
15139,2015,0.508064516,0.161290323,0.459677419,1.8,0.040322581,0.080645161,0.096774194,0.233870968,0.548387097,4.169354839,0.003186678,4.12987013,0.009560763,0.02,0.024509804,0.062200957
15139,2016,0.795454545,0.278409091,0.517045455,1.608695652,0.119318182,0.147727273,0.113636364,0.210227273,0.409090909,3.642045455,0.004003275,4.169354839,-0.126472657,0.024509804,0.062200957,0.076576577
15139,2017,0,0,0,1.6,0.125,0,0,0.25,0.625,4.25,0.003202562,3.642045455,0.166926677,0.062200957,0.076576577,-1
15140,2011,0,0,0,1,0,0,1,0,0,3,8.57E-05,,-0.294117647,-0.144736842,-0.015384615,0
15140,2013,0.5,0,0,1,0.5,0,0,0,0.5,3,9.50E-05,,0,0,-0.03125,0.080645161
15140,2015,0,0,0,1,0,0.5,0,0,0.5,3.5,5.14E-05,,0.166666667,0.080645161,0.014925373,0.044117647
15140,2016,0.4,0,0.2,1,0.2,0,0,0,0.8,4.2,0.000113729,3.5,0.2,0.014925373,0.044117647,0.056338028
15142,2009,0,0,0,1,0,0,0,0,1,5,0.000552944,,0.19047619,0,-0.013333333,0.02027027
15142,2010,0.5,0,0,1,0,0,0,0,1,5,0.000318725,5,0,-0.013333333,0.02027027,-0.013245033
15142,2011,2,0,1,2,0,0,0,1,0,4,8.57E-05,5,-0.2,0.02027027,-0.013245033,0
15142,2012,1,0.25,0.25,1.666666667,0,0,0.25,0.25,0.5,4.25,0.000239263,4,0.0625,-0.013245033,0,0.036912752
15142,2013,0.333333333,0,0.166666667,1.5,0,0,0,0.166666667,0.833333333,4.833333333,0.00028509,4.25,0.137254902,0,0.036912752,0.048543689
15142,2014,0.2,0.133333333,0.133333333,1.5,0.066666667,0,0.066666667,0.2,0.666666667,4.4,0.000520598,4.833333333,-0.089655172,0.036912752,0.048543689,0.024691358
15142,2015,0.272727273,0.181818182,0,1.666666667,0.090909091,0.090909091,0.090909091,0.363636364,0.363636364,3.818181818,0.000282689,4.4,-0.132231405,0.048543689,0.024691358,0.036144578
15142,2016,1.2,0.3,0.95,1.5,0,0.05,0.05,0.3,0.6,4.45,0.000454918,3.818181818,0.16547619,0.024691358,0.036144578,0.023255814
15142,2017,0,0,0,,0,0,0,0,1,5,0.00040032,4.45,0.123595506,0.036144578,0.023255814,-1
15143,2006,0,0,0,1,0,0,0,0,1,5,0.004366812,,0,0.046948357,0.013452915,0.053097345
15143,2007,2,3,4,2,0,0,0,0,1,5,0.001179245,5,0,0.013452915,0.053097345,0.008403361
15143,2008,1.4,0,0.4,1.75,0.2,0,0.2,0.6,0,3.2,0.00265252,5,-0.36,0.053097345,0.008403361,0
15143,2009,2.0625,0.4375,1,1.5,0,0,0.125,0.4375,0.4375,4.3125,0.004423555,3.2,0.34765625,0.008403361,0,0
